
Gurobi 7.0.2 (linux64, Java) logging started Mon 20 May 2019 10:31:28 PM -03

Optimize a model with 40 rows, 40 columns and 120 nonzeros
Model has 792 quadratic objective terms
Variable types: 0 continuous, 40 integer (40 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [2e+00, 2e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e+00, 2e+00]
Found heuristic solution: objective -0
Modified 40 Q diagonals
Presolve time: 0.00s
Presolved: 40 rows, 40 columns, 120 nonzeros
Presolved model has 794 quadratic objective terms
Variable types: 0 continuous, 40 integer (40 binary)

Root relaxation: objective 1.034642e+03, 41 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1034.64173    0   40   -0.00000 1034.64173      -     -    0s
H    0     0                      30.0000000 1034.64173  3349%     -    0s
H    0     0                     236.0000000 1034.64173   338%     -    0s
H    0     0                     312.0000000 1034.64173   232%     -    0s
     0     2 1034.64173    0   40  312.00000 1034.64173   232%     -    0s
H   31    34                     319.0000000  954.23552   199%   3.0    0s
H   33    35                     341.0000000  954.23552   180%   3.0    0s
H   35    37                     366.0000000  954.23552   161%   3.0    0s
 3616399 224274  414.66720   54   13  366.00000  414.66720  13.3%   2.4  860s
 3633168 220016  414.06779   51   17  366.00000  414.06779  13.1%   2.4  865s
 3649061 215923  413.48261   48   18  366.00000  413.48261  13.0%   2.4  870s
 3659990 213085  413.07966   53   16  366.00000  413.07966  12.9%   2.4  875s
 3677728 208392  380.78679   52   17  366.00000  412.40396  12.7%   2.4  880s
 3695139 203714  386.30570   50   15  366.00000  411.73033  12.5%   2.4  885s
 3711781 199104  409.34626   50   19  366.00000  411.08011  12.3%   2.4  890s
 3726824 194886  410.48713   51   15  366.00000  410.48713  12.2%   2.4  895s
 3743526 190106  400.68063   51   14  366.00000  409.78513  12.0%   2.4  900s
 3758484 185706  409.14869   50   15  366.00000  409.14869  11.8%   2.4  905s
 3774974 180755  398.74775   51   14  366.00000  408.42013  11.6%   2.4  910s
 3791123 175829  407.00819   51   18  366.00000  407.69368  11.4%   2.4  915s
 3806065 171128  407.01596   47   18  366.00000  407.01596  11.2%   2.4  920s
 3822718 165753  406.21297   51   14  366.00000  406.21297  11.0%   2.4  925s
 3839488 160212  405.37893   52   16  366.00000  405.37893  10.8%   2.4  930s
 3854048 155382  404.64898   51   19  366.00000  404.64898  10.6%   2.4  935s
 3867724 150591  403.84189   50   17  366.00000  403.91757  10.4%   2.4  940s
 3883962 144795  403.02638   49   15  366.00000  403.02638  10.1%   2.4  945s
 3900219 138832  401.20883   52   17  366.00000  402.08467  9.86%   2.4  950s
 3914335 133544  401.24870   54   12  366.00000  401.24870  9.63%   2.4  955s
 3931277 126992  398.39481   53   15  366.00000  400.18184  9.34%   2.4  960s
 3945607 121238  399.17789   51   17  366.00000  399.21586  9.08%   2.4  965s
 3960843 114940  389.92958   52   16  366.00000  398.14303  8.78%   2.4  970s
 3972737 109879  388.98373   53   13  366.00000  397.25553  8.54%   2.4  975s
 3987443 103327  396.07297   51   16  366.00000  396.07297  8.22%   2.4  980s
 4001027 97027  387.21529   52   16  366.00000  394.87662  7.89%   2.4  985s
 4013366 91105  369.11300   55   12  366.00000  393.76324  7.59%   2.4  990s
 4028840 83377  392.03309   50   18  366.00000  392.23394  7.17%   2.4  995s
 4042583 76118  390.72615   53   14  366.00000  390.72615  6.76%   2.4 1000s
 4058469 67214  388.66955   51   16  366.00000  388.76982  6.22%   2.4 1005s
 4071582 59464  373.32159   51   15  366.00000  386.96575  5.73%   2.4 1010s
 4084569 51149  384.86464   50   15  366.00000  384.86464  5.15%   2.4 1015s
 4098121 41825  382.35493   52   15  366.00000  382.35493  4.47%   2.4 1020s
 4110559 32417  379.50503   53   14  366.00000  379.50503  3.69%   2.4 1025s
 4121026 23834  375.16497   51   15  366.00000  376.65710  2.91%   2.4 1030s
 4132349 13502  372.76271   52   14  366.00000  372.82874  1.87%   2.4 1035s
 4143634  2666  367.90379   48   17  366.00000  367.90379  0.52%   2.4 1040s

Explored 4146401 nodes (9981022 simplex iterations) in 1041.37 seconds
Thread count was 4 (of 4 available processors)

Solution count 7: 366 341 319 ... -0
Pool objective bound 366

Optimal solution found (tolerance 1.00e-04)
Best objective 3.660000000000e+02, best bound 3.660000000000e+02, gap 0.0000%
